Spcode,Category,English.Name,Scientific.Name
ostric2,species,Common Ostrich,Struthio camelus
ostric3,species,Somali Ostrich,Struthio molybdophanes
y00934,slash,Common/Somali Ostrich,Struthio camelus/molybdophanes
grerhe1,species,Greater Rhea,Rhea americana
lesrhe2,species,Lesser Rhea,Rhea pennata
lesrhe4,group (polytypic),Lesser Rhea (Puna),Rhea pennata tarapacensis/garleppi
lesrhe3,group (monotypic),Lesser Rhea (Darwin's),Rhea pennata pennata
tabtin1,species,Tawny-breasted Tinamou,Nothocercus julius
higtin1,species,Highland Tinamou,Nothocercus bonapartei
higtin2,group (polytypic),Highland Tinamou (South American),Nothocercus bonapartei [bonapartei Group]
higtin3,group (monotypic),Highland Tinamou (Costa Rican),Nothocercus bonapartei frantzii
hootin1,species,Hooded Tinamou,Nothocercus nigrocapillus
grytin1,species,Gray Tinamou,Tinamus tao
soltin1,species,Solitary Tinamou,Tinamus solitarius
blatin1,species,Black Tinamou,Tinamus osgoodi
gretin1,species,Great Tinamou,Tinamus major
whttin1,species,White-throated Tinamou,Tinamus guttatus
tinamu1,spuh,Tinamus sp.,Tinamus sp.
cintin1,species,Cinereous Tinamou,Crypturellus cinereus
bertin1,species,Berlepsch's Tinamou,Crypturellus berlepschi
littin1,species,Little Tinamou,Crypturellus soui
teptin1,species,Tepui Tinamou,Crypturellus ptaritepui
brotin1,species,Brown Tinamou,Crypturellus obsoletus
brntin1,group (monotypic),Brown Tinamou (castaneus),Crypturellus obsoletus castaneus
brntin2,group (polytypic),Brown Tinamou (Brown),Crypturellus obsoletus [obsoletus Group]
undtin1,species,Undulated Tinamou,Crypturellus undulatus
pabtin1,species,Pale-browed Tinamou,Crypturellus transfasciatus
bratin1,species,Brazilian Tinamou,Crypturellus strigulosus
gyltin1,species,Gray-legged Tinamou,Crypturellus duidae
reltin1,species,Red-legged Tinamou,Crypturellus erythropus
yeltin1,species,Yellow-legged Tinamou,Crypturellus noctivagus
yeltin2,group (monotypic),Yellow-legged Tinamou (zabele),Crypturellus noctivagus zabele
yeltin3,group (monotypic),Yellow-legged Tinamou (noctivagus),Crypturellus noctivagus noctivagus
blctin1,species,Black-capped Tinamou,Crypturellus atrocapillus
slbtin1,species,Slaty-breasted Tinamou,Crypturellus boucardi
chotin1,species,Choco Tinamou,Crypturellus kerriae
vartin1,species,Variegated Tinamou,Crypturellus variegatus
thitin1,species,Thicket Tinamou,Crypturellus cinnamomeus
thitin2,group (monotypic),Thicket Tinamou (occidentalis),Crypturellus cinnamomeus occidentalis
thitin3,group (polytypic),Thicket Tinamou (cinnamomeus Group),Crypturellus cinnamomeus [cinnamomeus Group]
rustin1,species,Rusty Tinamou,Crypturellus brevirostris
